"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3249","Get titles of the page","chromium","2026-07-15","passed","2026-07-15","","PagePractice.spec.js","",""
"","5793","Fill the Register Page","chromium","2026-07-15","passed","2026-07-15","","TS01_RegisterPage.spec.js","",""
"","6113","Locators","chromium","2026-07-15","passed","2026-07-15","","Locators.spec.js","",""
"","5060","Fill the Register Page","webkit","2026-07-10","passed","2026-07-10","","TS01_RegisterPage.spec.js","",""
"","1418","has title","chromium","2026-07-15","passed","2026-07-15","","example.spec.js","",""
"","2505","get started link","webkit","2026-07-10","passed","2026-07-10","","example.spec.js","",""
"","19373","@Smoke @Regression Find Broken Links","chromium","2026-07-15","passed","2026-07-15","","BrokenLinks.spec.js","",""
"","4674","@Regression Locators","chromium","2026-07-15","passed","2026-07-15","","Locators.spec.js","",""
"","3787","has title","firefox","2026-07-10","passed","2026-07-10","","example.spec.js","",""
"","1903","has title","webkit","2026-07-10","passed","2026-07-10","","example.spec.js","",""
"","7044","get started link","firefox","2026-07-10","passed","2026-07-10","","example.spec.js","",""
"","6200","@Smoke @Regression Home Page Test","chromium","2026-07-15","passed","2026-07-15","","HomePageTest.spec.js","",""
"","1349","get started link","chromium","2026-07-15","passed","2026-07-15","","example.spec.js","",""
"","1714","Home Page Test","chromium","2026-07-15","passed","2026-07-15","","HomePageTest.spec.js","",""
"","17890","Find Broken Links","chromium","2026-07-15","passed","2026-07-15","","BrokenLinks.spec.js","",""
"","5210","@Smoke Find broken links","chromium","2026-07-15","passed","2026-07-15","","BrokenLink_Advanced.spec.js","",""
"","8617","Fill the Register Page","firefox","2026-07-10","passed","2026-07-10","","TS01_RegisterPage.spec.js","",""
"","30009","Upload File","chromium","2026-07-15","broken","2026-07-15","","TS02_UploadFile.spec.js","",""
"","2172","Find broken links","chromium","2026-07-15","passed","2026-07-15","","BrokenLink_Advanced.spec.js","",""
